Country,Rating,Freelancer Count
India,0,1688171
India,1,28469
India,2,28268
India,3,28110
India,4,27602
India,5,15153
Pakistan,0,370228
Pakistan,1,11899
Pakistan,2,11822
Pakistan,3,11763
Pakistan,4,11552
Pakistan,5,6211
Bangladesh,0,202878
Bangladesh,1,15286
Bangladesh,2,15231
Bangladesh,3,15172
Bangladesh,4,14905
Bangladesh,5,8338
Indonesia,0,141855
Indonesia,1,2714
Indonesia,2,2706
Indonesia,3,2698
Indonesia,4,2651
Indonesia,5,1623
Egypt,0,126025
Egypt,1,4666
Egypt,2,4639
Egypt,3,4620
Egypt,4,4549
Egypt,5,2927
Brazil,0,124076
Brazil,1,1761
Brazil,2,1756
Brazil,3,1748
Brazil,4,1728
Brazil,5,1244
Philippines,0,123445
Philippines,1,2972
Philippines,2,2949
Philippines,3,2937
Philippines,4,2900
Philippines,5,1963
United States,0,117615
United States,1,5010
United States,2,4991
United States,3,4977
United States,4,4923
United States,5,3489
Turkey,0,73802
Turkey,1,1822
Turkey,2,1815
Turkey,3,1810
Turkey,4,1787
Turkey,5,1256
Nigeria,0,70184
Nigeria,1,1331
Nigeria,2,1319
Nigeria,3,1310
Nigeria,4,1283
Nigeria,5,818
